Outlet_Identifier,Item_Identifier
OUT018,NCS42
OUT027,FDY57
OUT049,FDB21
OUT017,FDE28
OUT017,FDQ55
OUT049,FDA48
OUT045,FDZ19
OUT045,NCC43
OUT046,NCV18
OUT018,NCA42
OUT046,FDY45
OUT045,NCC30
OUT013,FDM57
OUT010,FDL09
OUT027,FDB09
OUT035,FDT44
OUT027,NCT06
OUT049,FDX26
OUT013,FDK32
OUT046,DRA12
OUT010,FDO46
OUT013,FDE52
OUT045,NCH42
OUT035,FDV08
OUT018,FDB47
OUT010,FDC28
OUT046,FDD22
OUT027,FDS07
OUT045,DRI13
OUT018,FDG32
OUT017,FDU14
OUT019,FDD28
OUT017,NCP41
OUT049,FDS08
OUT045,FDX47
OUT019,FDC53
OUT035,FDQ19
OUT045,FDL14
OUT019,FDM33
OUT045,FDA51
OUT018,FDZ27
OUT046,FDT04
OUT049,DRC13
OUT027,FDR16
OUT027,FDQ03
OUT035,FDE38
OUT027,DRH23
OUT019,FDT11
OUT035,FDD09
OUT045,FDR40
OUT017,FDX07
OUT035,FDR07
OUT017,FDA51
OUT019,FDT59
OUT017,FDF20
OUT045,FDR13
OUT049,FDY26
OUT017,FDW04
OUT017,FDK52
OUT049,FDN60
OUT019,FDM09
OUT049,FDP46
OUT019,FDB50
OUT049,NCQ29
OUT027,FDP16
OUT018,FDX33
OUT010,FDP07
OUT046,FDN22
OUT049,FDF39
OUT017,FDS21
OUT013,NCM42
OUT019,FDK50
OUT027,DRF13
OUT018,FDH35
OUT018,FDP60
OUT027,DRJ49
OUT019,NCT42
OUT049,FDE38
OUT049,FDI04
OUT045,NCH54
OUT049,FDT56
OUT018,DRD15
OUT013,FDV58
OUT049,FDP21
OUT013,FDH05
OUT027,FDR10
OUT045,NCP06
OUT049,FDF33
OUT013,DRK37
OUT045,DRH49
OUT013,FDT58
OUT018,FDD41
OUT018,FDP40
OUT027,FDM51
OUT010,FDO45
OUT010,FDW33
OUT045,FDY24
OUT010,FDB10
OUT035,FDM40
OUT017,NCI06
OUT019,FDW12
OUT027,FDX48
OUT027,NCW05
OUT017,FDX27
OUT045,DRM37
OUT045,FDA38
OUT046,FDR36
OUT046,FDZ45
OUT017,FDG05
OUT013,FDK28
OUT045,FDV47
OUT045,FDN21
OUT027,FDP20
OUT045,FDI35
OUT013,DRY23
OUT017,FDA56
OUT013,FDB09
OUT027,NCO26
OUT018,FDQ49
OUT027,FDI52
OUT027,FDZ44
OUT018,FDZ09
OUT049,FDY03
OUT017,NCG42
OUT027,DRI13
OUT013,FDQ32
OUT035,FDW16
OUT046,FDU27
OUT010,FDR28
OUT010,FDQ49
OUT046,FDS37
OUT018,FDW26
OUT018,FDX12
OUT013,NCP06
OUT010,FDW45
OUT049,NCN30
OUT049,FDN24
OUT027,NCL41
OUT019,FDR02
OUT010,FDD09
OUT010,FDS33
OUT045,FDU22
OUT013,FDI53
OUT049,DRH01
OUT013,FDX32
OUT018,NCP30
OUT045,FDB60
OUT049,FDB14
OUT035,NCP02
OUT017,FDJ10
OUT046,FDG34
OUT017,NCB18
OUT049,FDM16
OUT018,FDW25
OUT010,FDB35
OUT013,DRN11
OUT019,FDF41
OUT045,FDH16
OUT018,NCQ50
OUT018,DRH23
OUT013,DRJ37
OUT027,DRJ24
OUT035,FDY16
OUT045,FDQ27
OUT045,FDZ33
OUT045,FDF29
OUT049,FDA08
OUT046,FDG31
OUT019,FDE34
OUT027,NCR30
OUT035,FDV33
OUT018,DRZ24
OUT035,NCL54
OUT049,FDR12
OUT046,NCC54
OUT013,DRN59
OUT019,FDX50
OUT027,FDV31
OUT027,NCA29
OUT049,FDW60
OUT017,FDX08
OUT013,DRD49
OUT046,FDD33
OUT013,FDW35
OUT017,FDJ36
OUT035,FDV51
OUT046,FDW36
OUT046,FDH35
OUT027,NCS30
OUT017,FDN49
OUT018,FDL08
OUT013,FDI09
OUT018,FDP19
OUT010,FDU21
OUT045,NCP41
OUT013,FDY10
OUT018,FDP12
OUT049,NCN26
OUT013,FDK44
OUT049,FDC28
OUT027,FDJ41
OUT035,NCT29
OUT019,NCH42
OUT018,FDU60
OUT045,FDS02
OUT046,FDC51
OUT013,FDU03
OUT045,FDX39
OUT010,NCY05
OUT027,NCL06
OUT035,FDD32
OUT045,NCN41
OUT049,NCX53
OUT019,FDU57
OUT046,FDQ23
OUT045,FDQ52
OUT045,FDC14
OUT035,FDY09
OUT045,FDQ28
OUT046,FDV25
OUT035,FDJ07
OUT049,DRB25
OUT019,FDK52
OUT027,FDY52
OUT046,FDB28
OUT035,FDT36
OUT017,FDV25
OUT027,NCN07
OUT017,FDC57
OUT018,FDQ03
OUT017,FDU23
OUT035,NCX41
OUT035,NCD06
OUT045,FDW08
OUT017,NCU29
OUT013,NCE06
OUT010,FDV52
OUT017,FDB02
OUT045,NCR18
OUT049,FDK16
OUT010,NCQ29
OUT019,FDZ01
OUT035,FDW27
OUT018,FDD17
OUT013,FDW39
OUT045,DRH59
OUT013,FDS52
OUT027,FDU40
OUT013,NCF54
OUT045,FDH46
OUT049,NCP14
OUT049,FDH50
OUT010,DRF15
OUT027,FDV27
OUT049,NCJ06
OUT018,FDN02
OUT049,FDQ51
OUT017,FDQ07
OUT049,FDS45
OUT045,NCJ06
OUT035,FDD36
OUT045,FDY25
OUT046,FDU52
OUT017,DRK47
OUT017,NCL30
OUT035,FDN22
OUT027,NCF30
OUT035,FDK03
OUT017,FDT45
OUT027,NCC54
OUT018,FDP08
OUT046,FDU44
OUT035,DRG39
OUT049,FDU32
OUT049,FDY27
OUT013,NCP54
OUT049,NCZ41
OUT013,DRL49
OUT018,FDI05
OUT045,FDY56
OUT013,DRC13
OUT017,NCV29
OUT049,FDR24
OUT018,FDZ34
OUT035,FDP37
OUT027,FDX08
OUT045,FDS57
OUT049,NCG18
OUT018,FDK25
OUT049,FDH53
OUT018,DRI59
OUT046,FDA52
OUT010,FDT20
OUT019,FDE36
OUT017,FDI24
OUT018,FDB28
OUT017,FDV11
OUT046,FDP01
OUT027,FDD34
OUT027,FDJ50
OUT013,FDZ44
OUT035,DRO59
OUT045,DRB48
OUT018,FDR21
OUT010,NCE42
OUT046,FDO23
OUT018,NCE30
OUT035,FDQ22
OUT045,FDY01
OUT017,FDS08
OUT018,FDG28
OUT018,FDQ51
OUT017,FDB05
OUT049,FDO56
OUT018,FDE02
OUT017,FDN45
OUT013,FDS09
OUT018,NCA54
OUT010,FDP09
OUT045,FDC53
OUT017,NCM55
OUT018,FDL09
OUT019,FDA11
OUT045,FDA50
OUT017,FDC23
OUT049,FDE22
OUT046,FDD23
OUT049,NCA29
OUT046,FDK38
OUT046,DRC13
OUT049,NCP43
OUT049,FDX28
OUT049,FDF08
OUT046,FDZ33
OUT049,FDD10
OUT017,FDO58
OUT017,FDI50
OUT045,FDO58
OUT013,FDX08
OUT010,NCK17
OUT035,FDF39
OUT010,FDU45
OUT018,NCJ18
OUT019,DRC27
OUT035,DRC25
OUT035,FDU59
OUT035,FDU28
OUT046,NCP30
OUT018,FDB39
OUT013,FDE41
OUT010,DRH11
OUT045,FDA58
OUT046,FDU50
OUT013,FDM34
OUT027,FDM44
OUT045,FDR39
OUT045,FDM25
OUT049,FDQ49
OUT018,DRH25
OUT027,FDM09
OUT019,FDL44
OUT018,NCR42
OUT046,DRL59
OUT013,FDX43
OUT010,DRK47
OUT018,FDU48
OUT045,FDY12
OUT018,NCN43
OUT018,NCM55
OUT027,FDQ21
OUT035,FDX13
OUT027,NCK30
OUT049,FDG20
OUT017,DRG27
OUT018,FDY14
OUT035,FDP59
OUT017,FDU60
OUT019,NCC18
OUT017,DRJ39
OUT049,FDS07
OUT027,FDM08
OUT045,FDP51
OUT035,FDU16
OUT013,FDH12
OUT010,DRE48
OUT027,NCL42
OUT045,FDR21
OUT035,NCW29
OUT013,FDO11
OUT049,NCM31
OUT019,FDV35
OUT017,FDF58
OUT049,NCE43
OUT035,FDA02
OUT010,DRL37
OUT018,FDR24
OUT049,FDW59
OUT049,FDS22
OUT017,FDW24
OUT035,FDU24
OUT027,FDA21
OUT027,FDH58
OUT018,FDW36
OUT027,FDI45
OUT018,FDU01
OUT027,FDF35
OUT019,FDU43
OUT019,FDE24
OUT049,FDK50
OUT045,FDG31
OUT045,FDC60
OUT013,FDL36
OUT013,FDP21
OUT045,FDW16
OUT017,FDX02
OUT027,FDQ58
OUT046,FDT51
OUT049,FDD59
OUT018,NCM42
OUT018,FDA57
OUT035,FDZ48
OUT045,FDE46
OUT019,NCZ30
OUT017,FDB56
OUT027,FDA25
OUT013,FDD20
OUT013,FDL25
OUT049,NCO18
OUT017,FDJ45
OUT035,FDR12
OUT010,NCF19
OUT046,FDK25
OUT046,NCR17
OUT046,FDC52
OUT017,NCA54
OUT010,FDR45
OUT049,NCM19
OUT027,FDF39
OUT049,FDX23
OUT027,FDD58
OUT013,FDX28
OUT013,NCD31
OUT018,FDU57
OUT046,FDI27
OUT046,NCM42
OUT027,FDD32
OUT013,FDI34
OUT049,NCM29
OUT018,FDG46
OUT010,DRC01
OUT027,FDB15
OUT027,NCA17
OUT046,FDF10
OUT027,FDR26
OUT049,FDI02
OUT010,NCM54
OUT013,FDF14
OUT010,FDJ33
OUT035,FDM20
OUT027,FDC03
OUT046,NCX05
OUT027,NCM41
OUT010,NCU29
OUT017,FDQ59
OUT010,FDH46
OUT013,FDH09
OUT045,NCD06
OUT035,FDC15
OUT027,DRD37
OUT027,FDT28
OUT027,FDR28
OUT017,FDT38
OUT027,FDV34
OUT035,FDY52
OUT013,FDB34
OUT018,DRL23
OUT046,DRB24
OUT046,FDJ50
OUT035,FDQ49
OUT035,FDP20
OUT027,FDV19
OUT045,NCR54
OUT010,FDO09
OUT018,FDS57
OUT049,FDN10
OUT049,FDV23
OUT049,FDY28
OUT013,DRG51
OUT019,FDD45
OUT027,NCL18
OUT013,NCM29
OUT027,FDF17
OUT017,FDE22
OUT017,FDQ22
OUT013,FDS01
OUT027,FDW35
OUT046,FDJ33
OUT035,NCF54
OUT013,FDE09
OUT045,NCE06
OUT049,DRH49
OUT045,FDY43
OUT017,NCT05
OUT045,FDZ34
OUT017,FDL38
OUT017,FDZ31
OUT035,FDR14
OUT049,NCN54
OUT027,NCC42
OUT017,FDK08
OUT013,FDP59
OUT035,FDV22
OUT035,FDD33
OUT027,DRE60
OUT046,FDK52
OUT017,FDA02
OUT049,FDM56
OUT035,FDE57
OUT045,FDM32
OUT027,NCQ30
OUT027,FDQ27
OUT027,FDT60
OUT049,FDU43
OUT035,NCO55
OUT045,FDG02
OUT013,FDJ28
OUT045,FDP40
OUT045,FDJ38
OUT017,NCC54
OUT046,NCZ41
OUT019,FDK38
OUT013,FDU52
OUT046,FDC40
OUT017,NCR30
OUT017,NCN18
OUT035,FDB50
OUT013,FDG04
OUT035,FDR26
OUT018,NCT17
OUT027,FDX35
OUT046,FDS12
OUT027,NCZ29
OUT010,FDB38
OUT013,FDP12
OUT046,FDP22
OUT018,FDS26
OUT046,FDR52
OUT046,DRJ13
OUT027,FDU48
OUT035,FDE29
OUT049,NCT29
OUT018,DRK37
OUT046,FDK55
OUT046,FDR07
OUT027,FDO21
OUT049,FDK46
OUT045,FDB12
OUT027,FDT31
OUT045,FDJ33
OUT027,FDC26
OUT045,NCQ02
OUT010,FDP08
OUT027,FDB11
OUT013,FDV55
OUT049,FDW20
OUT019,NCJ18
OUT018,FDC41
OUT027,FDE14
OUT013,FDG35
OUT035,FDF45
OUT027,FDS19
OUT019,FDS58
OUT017,FDA26
OUT049,FDM32
OUT046,FDL45
OUT049,FDZ55
OUT049,FDY37
OUT046,FDO46
OUT046,FDQ60
OUT018,FDA19
OUT046,FDL15
OUT018,FDM10
OUT017,NCL05
OUT010,DRK49
OUT027,NCE18
OUT049,FDG40
OUT045,DRI59
OUT035,FDK28
OUT019,NCD06
OUT019,FDO11
OUT046,FDK27
OUT027,FDT43
OUT018,FDD38
OUT049,FDA16
OUT027,FDL14
OUT049,NCM17
OUT045,FDD20
OUT045,FDA40
OUT045,FDL43
OUT045,FDV15
OUT046,FDE52
OUT010,NCL17
OUT045,NCJ31
OUT045,FDR60
OUT035,NCA18
OUT027,FDS21
OUT035,FDW09
OUT035,FDL26
OUT018,FDS47
OUT046,FDC39
OUT035,FDT51
OUT035,FDK40
OUT045,NCG19
OUT046,FDZ07
OUT027,FDF08
OUT013,FDO04
OUT018,FDK41
OUT049,FDP15
OUT018,NCD43
OUT013,NCP18
OUT046,FDZ51
OUT035,DRH13
OUT045,FDF38
OUT045,NCI43
OUT027,FDM38
OUT013,FDS03
OUT017,DRJ47
OUT010,FDT50
OUT046,FDV02
OUT017,NCG18
OUT046,FDW52
OUT035,FDS40
OUT017,FDN31
OUT045,FDA37
OUT046,FDA15
OUT046,FDL39
OUT045,FDJ53
OUT013,FDX22
OUT045,NCZ42
OUT027,FDD56
OUT017,FDD40
OUT013,FDS50
OUT013,NCN14
OUT013,FDT15
OUT027,NCS18
OUT010,NCO26
OUT018,FDF58
OUT013,NCB19
OUT017,FDH26
OUT027,DRB24
OUT018,FDA49
OUT045,FDB32
OUT017,FDI36
OUT010,NCA17
OUT013,FDH22
OUT018,NCM26
OUT027,FDT15
OUT018,FDB16
OUT027,NCP54
OUT013,FDJ36
OUT045,FDO28
OUT013,FDU09
OUT017,FDF29
OUT013,FDY08
OUT018,DRJ59
OUT027,FDT23
OUT018,FDU15
OUT013,FDT47
OUT019,FDI53
OUT018,FDR59
OUT035,FDD53
OUT017,FDY51
OUT049,FDT04
OUT049,FDU51
OUT035,FDG14
OUT045,NCU06
OUT046,DRG25
OUT035,DRH49
OUT035,FDN15
OUT018,FDL43
OUT049,NCT18
OUT013,NCB31
OUT035,FDK57
OUT019,FDY04
OUT046,NCP54
OUT013,FDF41
OUT045,FDM01
OUT045,FDW03
OUT045,FDF28
OUT017,FDY37
OUT017,FDQ03
OUT027,FDP51
OUT017,FDJ40
OUT049,FDC32
OUT027,DRI49
OUT017,NCW54
OUT017,FDF09
OUT018,FDP45
OUT018,DRJ23
OUT017,FDS59
OUT046,FDY08
OUT049,FDX16
OUT018,FDY16
OUT035,FDK32
OUT013,FDQ22
OUT018,NCC31
OUT049,FDG58
OUT013,DRF48
OUT049,DRH36
OUT035,NCR30
OUT019,FDB03
OUT027,FDZ28
OUT017,FDR35
OUT027,DRD15
OUT019,FDJ33
OUT010,FDA56
OUT046,FDP56
OUT046,NCT30
OUT017,FDK15
OUT018,FDH44
OUT013,FDV01
OUT017,DRG03
OUT027,FDG50
OUT010,FDR16
OUT046,FDZ60
OUT045,DRG03
OUT018,FDS56
OUT045,FDU33
OUT035,DRD27
OUT046,FDW22
OUT045,DRA24
OUT049,FDF38
OUT013,FDX48
OUT018,FDS58
OUT046,FDC32
OUT045,NCQ29
OUT018,DRK39
OUT017,NCS38
OUT013,DRO47
OUT027,DRG27
OUT027,FDC57
OUT046,FDS55
OUT018,NCJ06
OUT019,FDO01
OUT045,NCM55
OUT049,FDC52
OUT045,FDQ15
OUT027,NCT30
OUT027,NCR42
OUT035,FDD28
OUT049,FDQ34
OUT027,FDZ12
OUT019,DRE13
OUT019,NCN07
OUT035,FDM28
OUT017,FDI10
OUT013,FDQ25
OUT010,FDA38
OUT049,DRI13
OUT027,FDY20
OUT035,NCZ53
OUT013,NCM31
OUT017,DRB01
OUT046,DRF37
OUT049,NCF42
OUT018,FDF16
OUT013,FDB41
OUT013,FDR34
OUT018,FDR15
OUT019,NCV42
OUT035,FDW51
OUT017,FDU36
OUT049,FDX60
OUT035,FDY03
OUT045,FDW55
OUT010,FDT01
OUT013,FDG58
OUT017,FDK21
OUT019,NCS41
OUT045,FDS10
OUT046,NCT53
OUT018,FDJ28
OUT045,FDX44
OUT018,FDT20
OUT017,FDO44
OUT049,NCX17
OUT017,FDY01
OUT027,FDJ12
OUT018,DRK35
OUT019,FDD47
OUT035,NCM53
OUT013,FDO45
OUT010,NCM42
OUT046,FDE04
OUT027,NCI30
OUT013,FDZ19
OUT013,FDW57
OUT013,FDA25
OUT046,FDT22
OUT013,FDP51
OUT027,FDD48
OUT035,FDY39
OUT010,FDO48
OUT027,FDD23
OUT027,DRN35
OUT035,FDT01
OUT010,FDC20
OUT035,DRJ35
OUT046,FDB32
OUT046,FDL24
OUT035,NCV42
OUT046,FDZ46
OUT013,FDC15
OUT019,FDD08
OUT049,FDY50
OUT013,FDD36
OUT027,FDG57
OUT018,FDL21
OUT027,FDN16
OUT027,FDJ09
OUT010,FDS01
OUT017,FDV33
OUT017,DRE12
OUT013,FDR07
OUT010,FDP48
OUT035,NCB55
OUT013,FDQ08
OUT035,FDR34
OUT046,FDO33
OUT045,FDP13
OUT049,FDX12
OUT049,NCT06
OUT019,FDR16
OUT046,FDE36
OUT049,FDZ36
OUT045,FDV13
OUT035,NCZ17
OUT045,FDU56
OUT035,FDM09
OUT017,FDV02
OUT018,FDS34
OUT049,FDA11
OUT017,FDP09
OUT027,FDB29
OUT017,FDT19
OUT017,DRH15
OUT046,FDY38
OUT027,FDF14
OUT010,FDN48
OUT013,FDQ12
OUT045,NCJ43
OUT019,FDE17
OUT035,FDB05
OUT045,FDH10
OUT017,NCR06
OUT018,FDU32
OUT049,FDD56
OUT018,FDO36
OUT010,FDH16
OUT018,FDX10
OUT017,FDZ37
OUT010,FDU31
OUT049,DRC49
OUT045,FDL15
OUT019,FDN32
OUT027,DRH59
OUT049,NCU29
OUT019,FDR37
OUT018,FDS14
OUT027,FDU02
OUT035,FDJ08
OUT045,NCZ06
OUT049,FDO31
OUT018,FDH31
OUT017,FDS58
OUT027,NCA53
OUT046,FDF50
OUT049,NCW42
OUT045,NCQ17
OUT018,FDK51
OUT010,NCW41
OUT017,NCR29
OUT019,FDB08
OUT027,FDA40
OUT018,FDL14
OUT046,FDB47
OUT035,FDO03
OUT019,DRK13
OUT010,FDX13
OUT046,FDF52
OUT013,FDT11
OUT013,FDB08
OUT018,FDQ28
OUT045,FDD29
OUT027,NCQ29
OUT013,NCO02
OUT010,FDR56
OUT049,NCM54
OUT035,FDP51
OUT013,FDT38
